year_film,year_ceremony,ceremony,category,name,film,winner
2020,2021,93,ANIMATED FEATURE FILM,"Richard Phelan, Will Becher and Paul Kewley",A Shaun the Sheep Movie: Farmageddon,False
2020,2021,93,ANIMATED FEATURE FILM,Pete Docter and Dana Murray,Soul,True
2020,2021,93,ANIMATED FEATURE FILM,"Tomm Moore, Ross Stewart, Paul Young and Stéphan Roelants",Wolfwalkers,False
2020,2021,93,CINEMATOGRAPHY,Judas and the Black Messiah,Sean Bobbitt,False
2020,2021,93,CINEMATOGRAPHY,Mank,Erik Messerschmidt,True
2020,2021,93,CINEMATOGRAPHY,News of the World,Dariusz Wolski,False
2020,2021,93,CINEMATOGRAPHY,Nomadland,Joshua James Richards,False
2020,2021,93,CINEMATOGRAPHY,The Trial of the Chicago 7,Phedon Papamichael,False
2020,2021,93,COSTUME DESIGN,Alexandra Byrne,Emma,False
2020,2021,93,COSTUME DESIGN,Ann Roth,Ma Rainey's Black Bottom,True
2020,2021,93,COSTUME DESIGN,Trish Summerville,Mank,False
2020,2021,93,COSTUME DESIGN,Bina Daigeler,Mulan,False
2020,2021,93,COSTUME DESIGN,Massimo Cantini Parrini,Pinocchio,False
2020,2021,93,DIRECTING,Thomas Vinterberg,Another Round,False
2020,2021,93,DIRECTING,David Fincher,Mank,False
2020,2021,93,DIRECTING,Lee Isaac Chung,Minari,False
2020,2021,93,DIRECTING,Chloé Zhao,Nomadland,True
2020,2021,93,DIRECTING,Emerald Fennell,Promising Young Woman,False
2020,2021,93,DOCUMENTARY FEATURE,Alexander Nanau and Bianca Oana,Collective,False
2020,2021,93,DOCUMENTARY FEATURE,"Nicole Newnham, Jim LeBrecht and Sara Bolder",Crip Camp,False
2020,2021,93,DOCUMENTARY FEATURE,"Maite Alberdi and Marcela Santibáñez",The Mole Agent,False
2020,2021,93,DOCUMENTARY FEATURE,"Pippa Ehrlich, James Reed and Craig Foster ",My Octopus Teacher,True
2020,2021,93,DOCUMENTARY FEATURE,"Garrett Bradley, Lauren Domino and Kellen Quinn",Time,False
2020,2021,93,DOCUMENTARY SHORT,Anthony Giacchino and Alice Doyard,Colette,True
